OBJECTID,shape_id,OBJECTID_1,route_id,trip_id,shape_id_1,OBJECTID_12,route_id_1,route_short_name,route_long_name,route_type,route_color,Shape__Length
1379,109494,,7675,6683256,,,,75,Lawrenceville Highway,3,819FF7,0.174932611513726
1380,109495,,7692,6688524,,,,107,Glenwood,3,819FF7,0.220379938760285
1381,109496,,7694,6637928,,,,110,Church Street / North DeKalb Mall,3,819FF7,0.113516130019294
1382,109497,,7706,6633704,,,,126,Chamblee-Tucker Road,3,819FF7,0.139040488081378
1383,109498,,7637,6679996,,,,4,Moreland Avenue,3,819FF7,0.0925227150475972
1384,109499,,7658,6669345,,,,39,Buford Highway,3,819FF7,0.134158450831847
1385,109500,,7662,6683888,,,,50,Donald Lee Hollowell Parkway,3,819FF7,0.135065105864321
1386,109501,,7722,6670640,,,,183,Barge Road P&R / Lakewood,3,819FF7,0.101026142810873
1387,109502,,7706,6650494,,,,126,Chamblee-Tucker Road,3,819FF7,0.153832207890554
1388,109503,,7693,6689163,,,,809,Monroe Drive / Boulevard,3,819FF7,0.125841257873376
1389,109504,,7653,6632317,,,,32,Bouldercrest,3,819FF7,0.197289461654595
1390,109505,,7732,6681881,,,,201,Six Flags Over Georgia,3,819FF7,0.11298287682942
1391,109506,,7670,6644206,,,,867,Peyton Forest / Dixie Hills,3,819FF7,0.110218848124841
1392,109507,,7736,6631729,,,,823,Belvedere/Decatur,3,819FF7,0.109322329128085
1393,109508,,7668,6685254,,,,60,Hightower Road,3,819FF7,0.0943960144504326
1394,109509,,7679,6649168,,,,82,Camp Creek / South Fulton Parkway,3,819FF7,0.246386236869777
1395,109510,,7680,6632488,,,,83,Campbellton Road,3,819FF7,0.105072367516826
1396,109511,,7686,6693382,,,,93,Headland Drive / Main Street,3,819FF7,0.125672196771322
1397,109512,,7702,6688732,,,,121,Memorial Drive / N Hairston Road,3,819FF7,0.0701255443457825
1398,109513,,7715,6665953,,,,162,Myrtle Drive / Alison Court,3,819FF7,0.0456223852626187
1399,109514,,7716,6638021,,,,165,Fairburn Road,3,819FF7,0.11800047033394
1400,109515,,7720,6691697,,,,180,Roosevelt Highway,3,819FF7,0.285071865756162
1401,109516,,7738,6644229,,,,40,Peachtree Street / Downtown,3,819FF7,0.0800961595487512
1402,109517,,7659,6671571,,,,42,Pryor Road,3,819FF7,0.142756251041983
1403,109518,,7695,6639622,,,,111,Snapfinger Woods,3,819FF7,0.302892386761955
1404,109519,,7698,6670307,,,,116,Redan Road,3,819FF7,0.195791754163769
1405,109520,,7725,6643584,,,,189,Flat Shoals Road / Scofield Road,3,819FF7,0.168048837660408
1406,109521,,7732,6672913,,,,201,Six Flags Over Georgia,3,819FF7,0.11298287682942
1407,109522,,11840,6689162,,,,813,Atlanta Student Movement Boulevard,3,819FF7,0.0925367904332894
1408,109523,,7737,6638356,,,,865,Boulder Park Drive,3,819FF7,0.0223147638169227
1409,109524,,7660,6671572,,,,47,I-85 Access Road / Briarwood Road,3,819FF7,0.164954594260742
1410,109525,,7677,6669955,,,,79,Sylvan Hills,3,819FF7,0.10194495639748
1411,109526,,7700,6644242,,,,119,Hairston Road / Stone Mtn Village,3,819FF7,0.163463851608173
1412,109527,,7702,6661326,,,,121,Memorial Drive / N Hairston Road,3,819FF7,0.166200852713746
1413,109528,,7699,6685387,,,,117,Rockbridge Road / Panola Road,3,819FF7,0.287502272921213
1414,109529,,7707,6632619,,,,132,Tilly Mill Road,3,819FF7,0.0967440357767964
1415,109530,,7739,6654821,,,,142,East Holcomb Bridge Road,3,819FF7,0.115382543211258
1416,109531,,7643,6668334,,,,14,14th Street / Blandtown,3,819FF7,0.0935525033431693
1417,109532,,7646,6655920,,,,19,Clairmont Road,3,819FF7,0.138804790367015
1418,109533,,7713,6676515,,,,153,James Jackson Parkway,3,819FF7,0.0562139381646675
1419,109534,,7728,6659481,,,,193,Morrow / Jonesboro,3,819FF7,0.316648307730893
1420,109535,,7674,6649137,,,,74,Flat Shoals Road,3,819FF7,0.127478395247264
1421,109536,,7678,6669957,,,,81,Venetian Hills / Delowe Drive,3,819FF7,0.186021792512729
1422,109537,,7681,6682033,,,,84,Washington Rd/Camp Crk Marketplace,3,819FF7,0.126732934003128
1423,109538,,7695,6692594,,,,111,Snapfinger Woods,3,819FF7,0.301949567628344
1424,109539,,7697,6665614,,,,115,Covington Highway,3,819FF7,0.225470845630915
1425,109540,,7723,6656568,,,,185,Alpharetta / Old Milton Parkway,3,819FF7,0.235026128716757
1426,109541,,7732,6632761,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1427,109542,,7639,6661954,,,,6,Clifton Road / Emory,3,819FF7,0.141073716084889
1428,109543,,7647,6692424,,,,21,Memorial Drive,3,819FF7,0.069502145593764
1429,109544,,7647,6637641,,,,21,Memorial Drive,3,819FF7,0.162037221338097
1430,109545,,7648,6648921,,,,24,McAfee / Hosea Williams,3,819FF7,0.234312277380734
1431,109547,,7673,6651510,,,,73,Fulton Industrial,3,819FF7,0.164440570068421
1432,109548,,7683,6669994,,,,86,Fairington Road,3,819FF7,0.253475683463037
1433,109549,,7686,6670001,,,,93,Headland Drive / Main Street,3,819FF7,0.132479706620235
1434,109550,,7697,6672672,,,,115,Covington Highway,3,819FF7,0.232955578655671
1435,109551,,7724,6639786,,,,186,Rainbow Drive / South DeKalb,3,819FF7,0.23311710405085
1436,109552,,7725,6662486,,,,189,Flat Shoals Road / Scofield Road,3,819FF7,0.180804152838726
1437,109553,,7733,6639866,,,,221,Memorial Drive Limited,3,819FF7,0.119736128040281
1438,109554,,11841,6638339,,,,850,Carroll Heights / Fairburn Heights,3,819FF7,0.0806828523938812
1439,109555,,7642,6642397,,,,12,Howell Mill Road / Cumberland,3,819FF7,0.107910310429065
1440,109556,,7648,6681714,,,,24,McAfee / Hosea Williams,3,819FF7,0.214618096517957
1441,109557,,7651,6647114,,,,27,Cheshire Bridge Road,3,819FF7,0.0888300973029878
1442,109558,,7667,6648839,,,,58,West Lake Avenue / Hollywood Road,3,819FF7,0.140329214077848
1443,109559,,7673,6665232,,,,73,Fulton Industrial,3,819FF7,0.151435217562999
1444,109560,,7706,6665906,,,,126,Chamblee-Tucker Road,3,819FF7,0.130150927197126
1445,109561,,7714,6682694,,,,155,Pittsburgh,3,819FF7,0.0985179704779572
1446,109562,,7721,6651052,,,,181,Washington Road / Fairburn,3,819FF7,0.246720027714837
1447,109563,,7732,6638294,,,,201,Six Flags Over Georgia,3,819FF7,0.100212061526511
1448,109564,,11841,6666572,,,,850,Carroll Heights / Fairburn Heights,3,819FF7,0.088066093580207
1449,109565,,7733,6662812,,,,221,Memorial Drive Limited,3,819FF7,0.116219611980178
1450,109566,,7670,6683517,,,,867,Peyton Forest / Dixie Hills,3,819FF7,0.0367205163842516
1451,109567,,7642,6684301,,,,12,Howell Mill Road / Cumberland,3,819FF7,0.122254091493912
1452,109568,,7643,6632266,,,,14,14th Street / Blandtown,3,819FF7,0.101813284774201
1453,109569,,11845,6676502,,,,133,Shallowford Road,3,819FF7,0.0949408778101008
1454,109570,,7731,6666887,,,,196,Upper Riverdale / Southlake,3,819FF7,0.186311985235014
1455,109571,,7696,6661285,,,,114,Columbia Drive,3,819FF7,0.133692093172312
1456,109572,,7698,6689426,,,,116,Redan Road,3,819FF7,0.198536955654727
1457,109573,,7706,6673426,,,,126,Chamblee-Tucker Road,3,819FF7,0.130707369043609
1458,109574,,7711,6633736,,,,148,Mount Vernon Highway,3,819FF7,0.111162824661178
1459,109575,,7721,6663467,,,,181,Washington Road / Fairburn,3,819FF7,0.189808118898347
1460,109576,,7728,6676824,,,,193,Morrow / Jonesboro,3,819FF7,0.27940143131296
1461,109577,,7740,6633899,,,,295,Metropolitan Campus Express,3,819FF7,0.0546147653550257
1462,109578,,7707,6670589,,,,132,Tilly Mill Road,3,819FF7,0.0891566501809889
1463,109579,,7712,6646688,,,,150,Perimeter Center / Dunwoody Village,3,819FF7,0.114061990478668
1464,109580,,7723,6656570,,,,185,Alpharetta / Old Milton Parkway,3,819FF7,0.242800970400652
1465,109581,,7732,6666273,,,,201,Six Flags Over Georgia,3,819FF7,0.11298287682942
